NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
6372,0.7716696,0.2814,3.5,5.28,0.002679558,0.02752947,1831.2986,2366.0225,0.748,0.669,88.3,0.105,0.085,1.296
6373,0.6538325,0.4613,3.86,7.26,0.002441919,0.02752947,3408.782,2363.407,0.765,0.447,-19.16,0.415,0.064,1.252
6374,1.107034,-0.1104,8.09,5.94,0.002439876,0.02752947,3229.7124,2364.5857,1.022,0.475,-8.27,0.535,0.01,2.179
6375,1.146015,-0.148,3.5,4.62,0.003310671,0.02752947,557.4855,2375.4797,1.324,0.858,63.95,0.352,0.001,1.762
6376,1.120263,-0.1233,3.5,4.62,0.003347623,0.02752947,535.7313,2367.9663,1.185,0.76,-1.76,0.359,0.011,1.581
6377,15.74354,-2.9928,4.62,5.94,0.002931856,0.02752947,795.0578,2407.2563,3.968,3.085,-37.88,0.223,0,5.461
6378,0.580122,0.5912,4.7,5.28,0.002554946,0.02752947,1528.7786,2369.2346,1.154,0.52,-20.91,0.549,0.009,1.092
6379,0.9360663,0.0717,3.5,4.62,0.002800644,0.02752947,2686.1138,2387.2163,1.072,0.644,30.39,0.4,0.179,1.999
6380,1.539359,-0.4684,6.66,5.28,0.002655757,0.02752947,2854.4097,2372.7554,1.346,0.737,-31.72,0.453,0.003,2.716
6381,1.896309,-0.6948,6.15,5.28,0.003738217,0.02752947,270.2069,2373.3928,1.192,0.805,30.48,0.325,0.01,1.764
6382,0.8511571,0.175,3.5,6.6,0.003980312,0.02752947,107.4457,2371.3325,1.064,0.642,6.88,0.397,0.044,1.922
6383,1.052012,-0.0551,3.5,5.28,0.002465703,0.02752947,3425.356,2379.5115,1.712,0.666,74.39,0.611,0.008,2.14
6384,91.42963,-4.9027,3.77,5.94,0.002785602,0.02752947,3814.4004,2462.4758,5.892,5.301,-29.59,0.1,0.025,6.024
6385,0.8672991,0.1546,7.14,3.5,0.002994033,0.02752947,2145.0491,2375.7693,1.188,0.444,56.47,0.627,0,1.841
6386,2.533575,-1.0093,6.27,5.94,0.002498693,0.02752947,3143.991,2381.1055,1.444,1.119,88.19,0.225,0.01,3.15
6387,2.970078,-1.1819,7.17,3.5,0.003379628,0.02752947,507.1871,2381.6067,1.426,1.114,-39.72,0.219,0.007,5.777
6388,0.7233355,0.3517,3.9,4.62,0.002526845,0.02752947,1444.7731,2372.4219,0.749,0.451,-19.61,0.397,0.977,1.433
6389,3.710244,-1.4235,4.31,7.26,0.002842914,0.02752947,4041.7075,2388.9321,2.811,1.635,17.24,0.418,0,3.712
6390,0.6263217,0.508,7.4,7.26,0.002434436,0.02752947,3251.4973,2373.5176,1.075,0.5,-0.44,0.535,0.006,1.248
6391,6.339092,-2.0051,6.37,3.5,0.002676983,0.02752947,1061.3848,2401.8557,3.781,1.148,59.36,0.696,0,7.078
6392,0.9304445,0.0783,3.5,7.26,0.003035824,0.02752947,2188.4438,2378.2734,1.005,0.474,-80.33,0.528,0.026,1.614
6393,0.6951419,0.3948,3.95,5.94,0.003235006,0.02752947,598.0261,2391.0808,1.561,0.471,71.22,0.698,0.007,1.795
6394,0.7716931,0.2814,4.2,5.94,0.002562539,0.02752947,3558.8826,2378.1423,0.843,0.675,41.06,0.199,0.002,1.572
6395,0.9162303,0.095,3.5,6.6,0.002616917,0.02752947,1725.2554,2377.7263,1.157,0.45,-29.32,0.611,0.029,2.104
6396,0.9873357,0.0138,6.06,4.62,0.003372267,0.02752947,514.3635,2378.0835,1.042,0.748,12.4,0.283,0.013,1.599
6397,1.661132,-0.551,3.5,3.5,0.002528822,0.02752947,1465.4042,2386.606,1.744,1.136,-0.84,0.349,0.02,1.923
6398,6.214538,-1.9835,6.1,7.92,0.002680333,0.02752947,2830.4644,2399.1758,2.361,1.712,54.22,0.275,0,3.754
6399,2.812908,-1.1229,5.5,5.94,0.003006485,0.02752947,2443.6416,2409.1357,2.644,1.041,9.84,0.606,0,3.374
6400,0.8659801,0.1562,4.72,8.58,0.003121467,0.02752947,2276.1294,2380.8647,0.854,0.669,43.31,0.217,0,1.657
6401,9.057101,-2.3925,3.88,3.5,0.002810247,0.02752947,3925.4026,2411.4353,2.96,2.811,-46.53,0.05,0,4.111
6402,0.9578664,0.0467,3.5,0,0.002976255,0.02752947,2131.9832,2382.8174,1.583,0.443,27.28,0.72,0.322,1.922
6403,61.40568,-4.4705,4.04,5.94,0.002606387,0.02752947,3029.8403,2460.0134,5.91,4.015,26.95,0.321,0.001,6.165
6404,1.628163,-0.5292,5.9,7.26,0.003030353,0.02752947,2433.0112,2385.4675,1.427,1.009,3.71,0.293,0,2.561
